"","Episode Number","Pitch Number","Company","Idea","Industry","Amount","Debt","Equity","Ashneer","Anupam","Namita","Aman","Vineeta","Peyush","Ghazal"
"1",1,1,"BluePine Industries","Frozen Momos","Food",7500000,0,0.18,1,0,0,1,1,0,0
"2",1,2,"Booz scooters","Renting e-bike for mobility in private spaces","Bikes",4e+06,0,0.5,1,0,0,0,1,0,0
"3",1,3,"Heart up my Sleeves","Detachable Sleeves","Fashion/Beauty",2500000,0,0.3,0,1,0,0,1,0,0
"4",2,4,"Tagz Foods","Healthy Potato Chips","Food",7e+06,0,0.03,1,0,0,0,0,0,0
"5",2,5,"Head and Heart","Brain Development Course","Education Technology",0,0,0,0,0,0,0,0,0,0
"6",2,6,"Agro tourism","Tourism","Tourism",0,0,0,0,0,0,0,0,0,0
"7",3,7,"Qzense Labs","Food Freshness Detector","Food",0,0,0,0,0,0,0,0,0,0
"8",3,8,"Peeschute","Disposable Urine Bag","Hygeine",7500000,0,0.06,0,0,0,1,0,0,0
"9",3,9,"NOCD","Energy Drink","Food",2e+06,3e+06,0.15,0,0,0,0,1,0,0
"10",4,10,"Cosiq","Intelligent Skincare","Healthcare",5e+06,0,0.25,0,1,0,0,1,0,0
"11",4,11,"JhaJi Achaar","Pickle","Food",0,0,0,0,0,0,0,0,0,0
"12",4,12,"Bummer","Underwear","Fashion/Beauty",7500000,0,0.08,0,0,1,1,0,0,0
"13",5,13,"Revamp Moto","E-Bike","Bikes",1e+07,0,0.02,0,1,0,1,0,0,0
"14",5,14,"Hungry Heads","Restaurant serving 80 types of Maggi","Food",0,0,0,0,0,0,0,0,0,0
"15",5,15,"Shrawani Engineers","Belly Button Shaper","Food",0,0,0,0,0,0,0,0,0,0
"16",6,16,"Skippi Pops","Ice-Pops","Food",1e+07,0,0.15,1,1,1,1,1,0,0
"17",6,17,"Menstrupedia","Menstrual Awareness Comic","Hygeine",5e+06,0,0.2,0,0,1,0,0,0,0
"18",6,18,"Hecolll","Pollution Resistant Fabric","Fashion/Beauty",0,0,0,0,0,0,0,0,0,0
"19",7,19,"Raising Superstars","Child Development App","Technology",1e+07,0,0.04,1,0,0,1,0,0,0
"20",7,20,"Torch-it","Gadgets for visually impaired people","Social Cause",0,0,0,0,0,0,0,0,0,0
"21",7,21,"La Kheer Deli","Kheer in variety of flavors","Food",0,0,0,0,0,0,0,0,0,0
"22",8,22,"Beyond Snack","Kerala Banana Chips","Food",5e+06,0,0.03,1,0,0,1,0,0,0
"23",8,23,"Vivalyf Innovations- Easy Life","Prickless Diabetes Testing Machine","Healthcare Equipment",5600000,0,0.33,0,1,0,0,0,1,0
"24",8,24,"Motion Breeze","Smart Electric Motorcycle","Bikes",3e+06,0,0.06,1,0,0,0,0,0,0
"25",9,25,"Altor","Smart Helmets","Bikes",5e+06,0,0.07,0,0,1,1,0,0,0
"26",9,26,"Ariro","Wooden Toys","Education Technology",5e+06,0,0.1,0,0,0,1,0,1,0
"27",9,27,"Kabira Handmade","Healthy Oils","Food",0,0,0,0,0,0,0,0,0,0
"28",10,28,"Nuutjob","Male Intimate Hygiene","Hygeine",2500000,0,0.2,0,0,1,1,0,1,0
"29",10,29,"Meatyour","Eggs","Food",3e+06,0,0.2,0,1,0,1,0,1,0
"30",10,30,"EventBeep","Student Community App","Social Media",3e+06,0,0.03,1,0,0,1,0,1,0
"31",11,31,"Gopal's 56","Fiber Ice Cream","Food",0,0,0,0,0,0,0,0,0,0
"32",11,32,"ARRCOAT Surface Textures","Wall Building","Construction",5e+06,0,0.15,0,1,0,0,0,0,0
"33",11,33,"Farda","Customised Streetwear","Fashion/Beauty",3e+06,0,0.2,0,0,1,1,0,0,0
"34",12,34,"Auli Lifestyle","Ayurvedic Products","Healthcare",7500000,0,0.05,0,0,1,0,0,0,0
"35",12,35,"SweeDesi","Indian Sweets","Food",0,0,0,0,0,0,0,0,0,0
"36",12,36,"LOKA","Metaverse App","Technology",4e+06,0,0.24,0,1,0,1,0,1,0
"37",13,37,"Annie","Braille Literary Device","Social Cause",10500000,0,0.03,0,1,1,0,0,1,0
"38",13,38,"Caragreen","Eco-Friendly boxes","Eco Friendly",5e+06,0,0.2,0,1,0,0,0,1,0
"39",13,39,"The Yarn Bazaar","Yarn-Trading App","Fashion/Beauty",1e+07,0,0.1,1,1,0,1,0,1,0
"40",14,40,"The Renal Project","Home Dialysis Treatment","Healthcare Equipment",1e+07,0,0.06,0,0,1,1,0,0,0
"41",14,41,"Morikko Pure Foods","Healthy Food Snacks","Food",0,0,0,0,0,0,0,0,0,0
"42",14,42,"Good Good Piggy Bank","Digital Piggy Bank","Fintech",0,0,0,0,0,0,0,0,0,0
"43",15,43,"Hammer Lifestyle","Smart Audio Products","Electronics",1e+07,0,0.4,0,0,0,1,0,0,0
"44",15,44,"PNT","Robotics and Automation Solutions","Electronics",2500000,2500000,0.25,0,0,0,0,0,1,0
"45",15,45,"Cocofit","Coconut based beverage franchise","Food",5e+05,0,0.05,0,1,1,1,0,0,0
"46",16,46,"Bamboo India","Bamboo Products","Eco Friendly",5e+06,3e+06,0.04,1,1,0,0,0,0,0
"47",16,47,"Flying Furr","Dog Hygiene","Pet",0,0,0,0,0,0,0,0,0,0
"48",16,48,"Beyond Water","Liquid Water Enhancer","Healthcare",7500000,0,0.15,0,0,1,1,0,0,0
"49",16,49,"Let's Try","Healthy Snacks","Food",4500000,0,0.12,0,1,0,1,0,0,0
"50",17,50,"Find Your Kicks India","Sneaker Resale","Fashion/Beauty",5e+06,0,0.25,1,1,1,1,0,1,0
"51",17,51,"Aas Vidyalaya","EdTech App","Education Technology",1.5e+07,0,0.15,1,0,1,0,0,1,0
"52",17,52,"Outbox","Premium Surprise-Planning","Gifting",0,0,0,0,0,0,0,0,0,0
"53",17,53,"RoadBounce","Pothole Detection Software and Data","Technology",8e+06,0,0.2,0,0,0,0,0,1,0
"54",18,54,"Mommy's Kitchen","Thin Crust Pizza","Food",0,0,0,0,0,0,0,0,0,0
"55",18,55,"India Hemp and Co","Hemp Food Products","Food",0,0,0,0,0,0,0,0,0,0
"56",18,56,"Otua","Electric Auto Vehicle","Bikes",1e+05,9900000,0.01,1,0,0,0,0,0,0
"57",18,57,"Anthyesti","Funeral Service","Funeral",0,0,0,0,0,0,0,0,0,0
"58",19,58,"Ethik","Leather-free Shoes","Fashion/Beauty",0,0,0,0,0,0,0,0,0,0
"59",19,59,"WeSTOCK","Livestock health monitoring AI","Technology",6e+06,0,0.1,1,0,1,1,0,1,0
"60",19,60,"KetoIndia","Customised Keto Diets for various medical issues","Food",0,0,0,0,0,0,0,0,0,0
"61",19,61,"Magic lock","LPG Cylinder lock","Safety",0,0,0,0,0,0,0,0,0,0
"62",20,62,"The State Plate","Delicacies","Food",4e+06,2500000,0.03,0,0,0,0,0,1,0
"63",20,63,"Bakarmax","Comics & Animation","Technology",0,0,0,0,0,0,0,0,0,0
"64",20,64,"IN A CAN","Can Cocktails","Food",1e+07,0,0.1,1,1,1,1,0,1,0
"65",21,65,"Get a Whey","Sugar-Free Icecream","Food",1e+07,0,0.15,1,0,0,1,1,0,0
"66",21,66,"Sid07 Designs","Inventions","Social Cause",2500000,2200000,0.75,0,0,0,0,0,1,0
"67",21,67,"The Quirky Nari","Customised Apparels","Fashion/Beauty",3500000,0,0.24,0,1,0,0,1,0,0
"68",22,68,"Hair Originals","Natural Hair Extensions","Fashion/Beauty",6e+06,0,0.04,1,1,0,0,0,1,0
"69",22,69,"Poo de Cologne","Toilet Spray with Essential Oils","Hygeine",0,0,0,0,0,0,0,0,0,0
"70",22,70,"Moonshine Meads","Meads","Food",0,0,0,0,0,0,0,0,0,0
"71",22,71,"Falhari","Fresh Fruits","Food",0,0,0,0,0,0,0,0,0,0
"72",23,72,"Namhya Foods","Ayurvedic Enriched Food","Food",5e+06,5e+06,0.1,0,0,0,1,0,0,0
"73",23,73,"Urban Monkey","Streetwear","Fashion/Beauty",0,0,0,0,0,0,0,0,0,0
"74",23,74,"Guardian Gears","Motorcycle Luggage","Bikes",0,0,0,0,0,0,0,0,0,0
"75",23,75,"Modern Myth","Bags","Fashion/Beauty",0,0,0,0,0,0,0,0,0,0
"76",24,76,"The Sass Bar","Gifts","Gifting",5e+06,0,0.35,0,1,0,0,0,0,1
"77",24,77,"KG Agrotech","Agricultural Innovations","Agriculture",1e+06,2e+06,0.4,0,0,0,0,0,1,0
"78",24,78,"Nuskha Kitchen","Homemade Foods","Food",0,0,0,0,0,0,0,0,0,0
"79",25,79,"PawsIndia","Dog Products","Pet",5e+06,0,0.15,0,1,0,0,0,0,0
"80",25,80,"Sunfox Technologies","Portable ECG Device","Healthcare Equipment",1e+07,0,0.06,0,1,1,0,1,1,1
"81",25,81,"Alpino","Roasted Peanut Products","Food",0,0,0,0,0,0,0,0,0,0
"82",26,82,"Isak Fragrances","Perfumes","Fashion/Beauty",5e+06,0,0.5,0,0,0,0,0,1,0
"83",26,83,"Julaa Automation","Automatic Cradle","Healthcare Equipment",0,0,0,0,0,0,0,0,0,0
"84",26,84,"Rare Planet","Handicrafts","Fashion/Beauty",6500000,0,0.3,0,0,1,0,0,0,0
"85",27,85,"Theka Coffee","Coffee Products","Food",0,0,0,0,0,0,0,0,0,0
"86",27,86,"Watt Technovations","Ventilated PPE Kits","Healthcare",10100000,0,0.04,0,1,1,0,0,1,1
"87",27,87,"Aliste Technologies","Automation Solutions","Technology",0,0,0,0,0,0,0,0,0,0
"88",27,88,"Insurance Samadhan","Insurance Solutions","Fintech",1e+07,0,0.04,0,0,0,0,0,1,0
"89",28,89,"Humpy A2","Organic Milk Products","Food",1e+07,0,0.15,0,0,0,0,1,1,1
"90",28,90,"Kunafa World","Kunafa","Food",0,0,0,0,0,0,0,0,0,0
"91",28,91,"Gold Safe Solutions Ind.","Anti-Suicidal Fan Rod","Social Cause",5e+06,0,0.3,0,0,0,0,1,1,1
"92",29,92,"Wakao Foods","Jackfruit Products","Food",7500000,0,0.21,0,0,1,0,1,0,1
"93",29,93,"PDD Falcon","Stainless Steel Items","Kitchen",0,0,0,0,0,0,0,0,0,0
"94",29,94,"PlayBox TV","Streaming Platform","Technology",0,0,0,0,0,0,0,0,0,0
"95",30,95,"Sippline Drinking Shields","Portable Glass Attachment","Construction",0,0,0,0,0,0,0,0,0,0
"96",30,96,"Kabaddi Adda","All-Kabaddi App","Technology",8e+06,0,0.06,0,0,1,0,1,0,0
"97",30,97,"Shades of Spring","Flowers","Gifting",0,0,0,0,0,0,0,0,0,0
"98",30,98,"Scholify","Scholarship Platform","Technology",0,0,0,0,0,0,0,0,0,0
"99",31,99,"Scrapshala","Handmade Reusable Scrap Materials","Eco Friendly",0,0,0,0,0,0,0,0,0,0
"100",31,100,"Sabjikothi","Vegetables Storage","Food",0,0,0,0,0,0,0,0,0,0
"101",31,101,"AyuRythm","Ayurvedic Wellness App","Technology",7500000,0,0.03,0,0,0,1,0,0,0
"102",31,102,"Astrix","Smart Locks","Technology",0,0,0,0,0,0,0,0,0,0
"103",32,103,"Thea and Sid","Proposal Solutions","Gifting",0,0,0,0,0,0,0,0,0,0
"104",32,104,"Experential Etc","Technology layered Advertisement Services","Technology",0,0,0,0,0,0,0,0,0,0
"105",32,105,"GrowFitter","Rewards App","Technology",5e+06,0,0.02,0,0,0,1,0,0,0
"106",32,106,"Med Tech","Portable opthalmic devices","Healthcare Equipment",0,0,0,0,0,0,0,0,0,0
"107",33,107,"Colour Me Mad","Insoles","Fashion/Beauty",4e+06,0,0.25,0,0,1,0,0,0,0
"108",33,108,"Mavi's","Vegan Fermented Food","Food",0,0,0,0,0,0,0,0,0,0
"109",33,109,"Tweek Labs","Sportswear","Fashion/Beauty",6e+06,0,0.1,1,1,0,0,0,1,0
"110",33,110,"Proxgy","VR","Technology",1e+07,0,0.1,1,0,0,0,0,1,0
"111",34,111,"Nomad Food Project","Bacon Jams","Food",4e+06,0,0.2,1,0,1,0,1,0,1
"112",34,112,"Twee in One","Reversible and convertible clothing","Fashion/Beauty",0,0,0,0,0,0,0,0,0,0
"113",34,113,"Green Protein","Plant-Based Protein","Food",0,0,0,0,0,0,0,0,0,0
